CLUB_NAME,PLAYERS_COUNT,PLAYERS_AVG_AGE,LEGIONARIES_COUNT,AVG_MARKET_VALUE,TOTAL_MARKET_VALUE,season
VfL Bochum,20,"24,1",0,-,-,1974
FC Schalke 04,22,"25,0",0,-,-,1974
SV Werder Bremen,21,"24,4",2,-,-,1974
Fortuna Düsseldorf,20,"26,2",2,-,-,1975
SV Werder Bremen,21,"25,6",4,-,-,1975
1.FC Kaiserslautern,22,"25,4",2,-,-,1975
Hamburger SV,19,"26,3",3,-,-,1975
Bayer 05 Uerdingen,23,"25,2",1,-,-,1975
1.FC Köln,27,"24,4",3,-,-,1975
Hannover 96,22,"25,8",1,-,-,1975
Kickers Offenbach,18,"25,8",3,-,-,1975
Borussia Mönchengladbach,23,"24,1",3,-,-,1975
Hertha BSC,19,"25,9",3,-,-,1975
Eintracht Braunschweig,19,"27,2",2,-,-,1975
Karlsruher SC,22,"27,2",1,-,-,1975
Eintracht Frankfurt,23,"24,5",0,-,-,1975
MSV Duisburg,20,"25,2",2,-,-,1975
FC Bayern München,26,"24,8",4,-,-,1975
Rot-Weiss Essen,17,"26,9",1,-,-,1975
FC Schalke 04,25,"23,7",2,-,-,1975
VfL Bochum,20,"24,4",0,-,-,1975
FC Bayern München,25,"24,5",4,-,-,1976
VfL Bochum,21,"24,6",0,-,-,1976
1.FC Saarbrücken,23,"25,3",3,-,-,1976
FC Schalke 04,27,"22,8",2,-,-,1976
SV Werder Bremen,22,"25,5",4,-,-,1976
1.FC Kaiserslautern,19,"26,0",2,-,-,1976
Fortuna Düsseldorf,19,"26,1",2,-,-,1976
Tennis Borussia Berlin,25,"25,3",1,-,-,1976
1.FC Köln,22,"24,8",3,-,-,1976
Hamburger SV,22,"27,2",3,-,-,1976
Borussia Dortmund,23,"25,9",3,-,-,1976
Hertha BSC,23,"26,7",2,-,-,1976
Borussia Mönchengladbach,24,"24,4",2,-,-,1976
Karlsruher SC,22,"27,1",3,-,-,1976
Eintracht Braunschweig,18,"27,3",2,-,-,1976
MSV Duisburg,21,"24,6",2,-,-,1976
Eintracht Frankfurt,21,"25,4",1,-,-,1976
Rot-Weiss Essen,22,"25,1",1,-,-,1976
FC Bayern München,24,"25,7",2,-,-,1977
VfB Stuttgart,19,"24,5",2,-,-,1977
1.FC Saarbrücken,18,"26,6",1,-,-,1977
FC Schalke 04,25,"24,8",3,-,-,1977
VfL Bochum,25,"25,3",0,-,-,1977
1.FC Kaiserslautern,19,"26,6",2,-,-,1977
FC St. Pauli,20,"25,3",2,-,-,1977
SV Werder Bremen,19,"25,7",2,-,-,1977
1.FC Köln,25,"24,5",3,-,-,1977
Fortuna Düsseldorf,18,"25,8",2,-,-,1977
Borussia Dortmund,22,"27,3",2,-,-,1977
Hamburger SV,20,"27,2",2,-,-,1977
Borussia Mönchengladbach,26,"25,7",2,-,-,1977
Hertha BSC,21,"26,0",3,-,-,1977
Eintracht Braunschweig,21,"27,4",3,-,-,1977
MSV Duisburg,22,"24,5",2,-,-,1977
Eintracht Frankfurt,23,"26,0",1,-,-,1977
TSV 1860 München,18,"26,3",2,-,-,1977
Eintracht Frankfurt,23,"25,1",2,-,-,1978
VfL Bochum,21,"26,7",0,-,-,1978
1.FC Kaiserslautern,20,"25,9",2,-,-,1978
FC Bayern München,25,"26,1",2,-,-,1978
SV Werder Bremen,23,"24,6",2,-,-,1978
